"WaterYear","Count","Mean","Median","StDev","Min","Max"
"1992",359,144.108356545961,71.2,242.653474183505,21.5,2130
"1993",365,128.552602739726,67.3,196.134246397628,6.4,1940
"1994",365,130.190136986301,59.2,239.890342419136,17.8,2150
"1995",365,138.741917808219,73.5,226.314008908375,12.7,1860
"1996",366,208.885519125683,135.5,240.774492421205,27,2170
"1997",365,226.591780821918,110,314.998122946363,35.4,1970
"1998",365,213.191506849315,131,262.483283003394,34.4,2600
"1999",365,160.125205479452,90.6,279.290491609718,28.5,2810
"2000",366,211.290710382514,114.5,332.598882972512,24.6,3410
"2001",365,249.271232876712,121,438.916160571513,38,3960
"2002",365,155.116164383562,66.8,249.107544489346,19.2,1680
"2003",364,109.285714285714,50,195.783868337361,20,1680
