"WaterYear","Count","Mean","Median","StDev","Min","Max"
"1985",92,147.380434782609,48,340.373739072741,3,2000
"1986",365,178.01095890411,90,293.691613117971,15,2710
"1987",365,206.772602739726,74,397.951844669552,15,3000
"1988",366,176.734972677596,74,347.569838423561,12,3620
"1989",365,198.12602739726,52,484.532096156002,6,4000
"1990",365,207.104931506849,47.6,573.257387752636,11.5,5060
"1991",365,177.835342465753,49.6,423.831913649383,11,3770
"1992",366,250.260382513661,67.5,722.186783177328,23.9,7520
"1993",365,145.198630136986,62.3,313.557933941527,8.4,2580
"1994",365,148.38904109589,67.7,247.934895500906,18,2350
"1995",365,194.315342465753,57,371.907797026678,11.1,2600
"1996",366,159.615573770492,47.05,312.847303298991,19.9,2690
"1997",365,231.673424657534,69.2,400.882421350519,24,2440
