"WaterYear","Count","Mean","Median","StDev","Min","Max"
"1987",296,375.108108108108,55.5,823.862993671166,1,5210
"1988",366,221.237704918033,40,840.923315643955,1,11100
"1989",365,296.860273972603,57,672.959348971434,2,5100
"1990",365,250.528493150685,32,620.791158641494,1.3,5570
"1991",365,378.143287671233,48.6,847.746229484122,12.3,5320
"1992",366,176.620491803279,61.95,412.216491120307,10.9,2970
"1993",365,166.911232876712,71.4,364.111337367912,2,3060
"1994",365,185.476712328767,70.4,403.495020095551,2.4,3430
"1995",365,248.914246575342,73.9,591.066677143488,1.1,6110
"1996",366,157.19262295082,58.75,324.447604863396,26.6,2250
"1997",365,172.360273972603,44.4,439.477397417187,21.4,3360
"1998",365,178.212876712329,62,333.021030626039,23.5,2910
"1999",365,160.588219178082,65.8,303.824039949015,26.3,2230
"2000",365,136.301643835616,51,339.03932791995,18.8,3910
