"WaterYear","Count","Mean","Median","StDev","Min","Max"
"1987",281,128.377224199288,32,292.295337521065,5,2150
"1988",366,86.8825136612022,12,280.190130887608,1,2920
"1989",365,206.252054794521,38,455.650642183696,2,3570
"1990",365,131.336712328767,18.5,414.88240194025,1,4530
"1991",365,170.579178082192,28.9,393.557353506859,8.3,3370
"1992",366,171.28306010929,24.25,634.542439430399,1.1,6490
"1993",365,78.0495890410959,25,220.573442283437,1,2020
"1994",365,92.6421917808219,19.3,352.866298926746,3.4,5220
"1995",365,68.1747945205479,16,208.098649789606,2,1920
"1996",366,78.2934426229508,25,174.405352942406,2.1,1890
"1997",364,162.63021978022,29.45,379.112690921291,10.2,3180
