"WaterYear","Count","Mean","Median","StDev","Min","Max"
"1986",203,127.128078817734,33,265.985880198748,6,1820
"1987",365,143.120547945205,48,290.122732156556,5,2500
"1988",366,111.827868852459,39,248.166427562522,4,2240
"1989",365,189.452054794521,58,372.092126468107,5,2880
"1990",365,125.993698630137,32.4,341.213031067211,1,4460
"1991",365,149.461643835616,29.3,370.924495675058,2,3030
"1992",366,92.6693989071038,42.4,196.751684104594,6.3,1710
"1993",365,72.8701369863014,38.6,123.306198703542,2,1140
"1994",365,100.60602739726,47.4,177.418970103486,13.6,1640
"1995",365,90.6668493150685,43.8,155.469140332785,8.5,1390
"1996",366,78.7027322404372,32.1,129.892598176369,5.1,1060
"1997",365,110.554520547945,46.9,179.804239742098,11.2,1260
