"WaterYear","Count","Mean","Median","StDev","Min","Max"
"1985",83,132.939759036145,20,420.916316038305,5,2600
"1986",365,90.1123287671233,27,258.379971892282,7,2120
"1987",365,166.013698630137,30,438.943808925755,5,3790
"1988",366,95.3333333333333,21,243.609418657094,3,1750
"1989",365,239.528767123288,49,494.420903761939,5,3310
"1990",365,168.672328767123,37.6,403.113352512612,6.6,3660
"1991",365,180.827123287671,44.5,377.150119212028,14.8,2980
"1992",366,222.602732240437,41.75,657.345749180077,7.2,6300
"1993",365,142.001643835616,54.1,254.722057526821,5.3,2560
"1994",365,195.701643835616,50.7,369.380814243724,10.6,2810
"1995",365,230.732328767123,56.8,498.12881564306,15,5290
"1996",366,177.056830601093,67.65,340.576520470335,9.3,3110
"1997",364,238.975274725275,85.5,364.221539678104,24,2570
