"WaterYear","Count","Mean","Median","StDev","Min","Max"
"1986",236,84.3983050847458,24,239.67916994965,8,2340
"1987",365,141.484931506849,25,432.116135841667,3,3900
"1988",366,162.754098360656,30,421.309432598958,2,3220
"1989",365,264.720547945205,54,591.776301420373,5,5110
"1990",365,116.611780821918,28.6,356.063221865481,3.2,4150
"1991",365,155.159178082192,36.2,363.227381490104,10.3,3200
"1992",366,121.198633879781,47.2,262.273293985214,5.3,2230
"1993",365,127.751780821918,80.5,199.176340027537,3.4,1940
"1994",365,148.278356164384,86,201.500793763698,6.7,2210
"1995",365,109.230410958904,36.9,219.321436120284,5.5,1520
"1996",366,106.091803278689,43.9,224.545899236963,7,2370
"1997",365,145.99397260274,51.1,281.880975615809,16.8,2210
"1998",365,109.609315068493,44.5,193.18766603641,9,1260
"1999",365,81.8279452054795,30.6,187.178672318099,12.5,1680
"2000",366,54.4781420765027,26,116.468672078447,18,1310
"2001",365,76.6054794520548,27,204.29542004463,13,2770
"2002",365,121.751780821918,37.6,260.639619263959,14,1820
"2003",364,148.884615384615,46,353.266282766302,16,2700
