"OrganizationIdentifier","OrganizationFormalName","ActivityIdentifier","ActivityTypeCode","ActivityMediaName","ActivityMediaSubdivisionName","ActivityStartDate","ActivityStartTime.Time","ActivityStartTime.TimeZoneCode","ActivityEndDate","ActivityEndTime.Time","ActivityEndTime.TimeZoneCode","ActivityDepthHeightMeasure.MeasureValue","ActivityDepthHeightMeasure.MeasureUnitCode","ActivityDepthAltitudeReferencePointText","ActivityTopDepthHeightMeasure.MeasureValue","ActivityTopDepthHeightMeasure.MeasureUnitCode","ActivityBottomDepthHeightMeasure.MeasureValue","ActivityBottomDepthHeightMeasure.MeasureUnitCode","ProjectIdentifier","ActivityConductingOrganizationText","MonitoringLocationIdentifier","ActivityCommentText","SampleAquifer","HydrologicCondition","HydrologicEvent","SampleCollectionMethod.MethodIdentifier","SampleCollectionMethod.MethodIdentifierContext","SampleCollectionMethod.MethodName","SampleCollectionEquipmentName","ResultDetectionConditionText","CharacteristicName","ResultSampleFractionText","ResultMeasureValue","ResultMeasure.MeasureUnitCode","MeasureQualifierCode","ResultStatusIdentifier","StatisticalBaseCode","ResultValueTypeName","ResultWeightBasisText","ResultTimeBasisText","ResultTemperatureBasisText","ResultParticleSizeBasisText","PrecisionValue","ResultCommentText","USGSPCode","ResultDepthHeightMeasure.MeasureValue","ResultDepthHeightMeasure.MeasureUnitCode","ResultDepthAltitudeReferencePointText","SubjectTaxonomicName","SampleTissueAnatomyName","ResultAnalyticalMethod.MethodIdentifier","ResultAnalyticalMethod.MethodIdentifierContext","ResultAnalyticalMethod.MethodName","MethodDescriptionText","LaboratoryName","AnalysisStartDate","ResultLaboratoryCommentText","DetectionQuantitationLimitTypeName","DetectionQuantitationLimitMeasure.MeasureValue","DetectionQuantitationLimitMeasure.MeasureUnitCode","PreparationStartDate","ProviderName","ActivityStartDateTime","ActivityEndDateTime"
"USGS-MS","USGS Mississippi Water Science Center","nwisms.01.99100399","Sample-Routine","Water","Surface Water",1991-04-04,"12:00:00","CST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-07288800",NA,NA,"Stable, high stage","Routine sample","USGS","USGS","USGS","Unknown",NA,"Fecal Streptococcus Group Bacteria",NA,7700,"cfu/100ml",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,NA,"31673",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS",1991-04-04 18:00:00,NA
"USGS-MS","USGS Mississippi Water Science Center","nwisms.01.99100367","Sample-Routine","Water","Surface Water",1991-02-27,"13:00:00","CST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-07288800",NA,NA,"Rising stage","Routine sample","USGS","USGS","USGS","Unknown",NA,"Fecal Streptococcus Group Bacteria",NA,200,"cfu/100ml",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,NA,"31673",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS",1991-02-27 19:00:00,NA
"USGS-MS","USGS Mississippi Water Science Center","nwisms.01.99200007","Sample-Routine","Water","Surface Water",1991-11-04,"13:00:00","CST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-07288800",NA,NA,"Rising stage","Routine sample","USGS","USGS","USGS","Unknown",NA,"Fecal Streptococcus Group Bacteria",NA,1000,"cfu/100ml",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,NA,"31673",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS",1991-11-04 19:00:00,NA
"USGS-MS","USGS Mississippi Water Science Center","nwisms.01.99100601","Sample-Routine","Water","Surface Water",1991-06-05,"13:00:00","CDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-07288800",NA,NA,"Stable, high stage","Routine sample","USGS","USGS","USGS","Unknown",NA,"Fecal Streptococcus Group Bacteria",NA,110,"cfu/100ml",NA,"Historical",NA,"Estimated",NA,NA,NA,NA,NA,NA,"31673",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"counts outside acceptable range",NA,NA,NA,NA,"NWIS",1991-06-05 18:00:00,NA
"USGS-MS","USGS Mississippi Water Science Center","nwisms.01.99101353","Sample-Routine","Water","Surface Water",1991-09-20,"13:30:00","CDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-07288800",NA,NA,"Stable, high stage","Routine sample","USGS","USGS","USGS","Unknown",NA,"Fecal Streptococcus Group Bacteria",NA,1700,"cfu/100ml",NA,"Historical",NA,"Estimated",NA,NA,NA,NA,NA,NA,"31673",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"counts outside acceptable range",NA,NA,NA,NA,"NWIS",1991-09-20 18:30:00,NA
"USGS-MS","USGS Mississippi Water Science Center","nwisms.01.99200132","Sample-Routine","Water","Surface Water",1991-12-19,"13:30:00","CST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-07288800",NA,NA,"Rising stage","Routine sample","USGS","USGS","USGS","Unknown",NA,"Fecal Streptococcus Group Bacteria",NA,1400,"cfu/100ml",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,NA,"31673",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS",1991-12-19 19:30:00,NA
"USGS-MS","USGS Mississippi Water Science Center","nwisms.01.99100640","Sample-Routine","Water","Surface Water",1991-07-22,"14:00:00","CDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-07288800",NA,NA,"Falling stage","Routine sample","USGS","USGS","USGS","Unknown",NA,"Fecal Streptococcus Group Bacteria",NA,490,"cfu/100ml",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,NA,"31673",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS",1991-07-22 19:00:00,NA
"USGS-MS","USGS Mississippi Water Science Center","nwisms.01.99500003","Sample-Routine","Water","Surface Water",1994-12-30,"12:00:00","CST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-07288955",NA,NA,"Falling stage","Routine sample","20","USGS parameter code 82398","Equal discharge increment (edi)","Sampler, frame-type, plastic bottle w/Teflon collaps. bag",NA,"Fecal Streptococcus Group Bacteria",NA,260,"cfu/100ml",NA,"Accepted",NA,"Actual",NA,NA,NA,NA,NA,NA,"31673",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS",1994-12-30 18:00:00,NA
"USGS-MS","USGS Mississippi Water Science Center","nwisms.01.99300729","Sample-Routine","Water","Surface Water",1993-06-28,"13:00:00","CDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-07288800",NA,NA,"Not determined","Routine sample","20","USGS parameter code 82398","Equal discharge increment (edi)","Sampler, frame-type, plastic bottle w/Teflon collaps. bag",NA,"Fecal Streptococcus Group Bacteria",NA,110,"cfu/100ml",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,NA,"31673",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS",1993-06-28 18:00:00,NA
"USGS-MS","USGS Mississippi Water Science Center","nwisms.01.99300243","Sample-Routine","Water","Surface Water",1993-02-23,"13:30:00","CST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-07288800","ROE RR VALUE DUP'ED",NA,"Stable, high stage","Routine sample","20","USGS parameter code 82398","Equal discharge increment (edi)","Sampler, frame-type, plastic bottle w/Teflon collaps. bag",NA,"Fecal Streptococcus Group Bacteria",NA,220,"cfu/100ml",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,NA,"31673",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS",1993-02-23 19:30:00,NA
