"WaterYear","Count","Mean","Median","StDev","Min","Max"
"2002",286,20.2993006993007,22.9,8.68287684966542,3.4,31.9
"2003",361,18.9445983379501,19.8,8.75928268986663,3.8,32.1
"2004",352,19.2801136363636,20.8,7.97645766679213,5.6,31.3
"2005",359,19.9779944289694,20.3,8.18731068798814,2,32.6
"2006",362,19.8005524861878,20.95,8.36425912551998,4.9,33.1
"2007",351,19.5179487179487,20.5,8.235265096449,4.5,32.6
"2008",362,19.4980662983425,20.3,7.94629282481096,4.7,32.3
"2009",363,19.0735537190083,18.9,8.04196625919901,4.1,32.5
"2010",357,19.6341736694678,20.3,9.64315019761691,0.5,34.2
"2011",354,19.9652542372881,21.1,9.00974018532915,2.9,33.9
"2012",348,20.1310344827586,21,7.70531925023792,5.7,33
"2013",364,18.9876373626374,18.25,8.11765656588005,5.2,31.9
"2014",365,17.8734246575342,19,8.83012330181264,1,30.8
"2015",365,18.5715068493151,19.7,8.91103521187876,2,32.2
"2016",365,19.9997260273973,19.3,7.5910571250901,3.1,32.2
"2017",308,18.8483766233766,19.65,7.13136148111321,3.2,31.5
"2018",331,18.7117824773414,17.3,8.13772063394762,2.3,30.4
"2019",181,13.0795580110497,11.2,4.66696092205676,7.3,25.9
