"WaterYear","Count","Mean","Median","StDev","Min","Max"
"2009",32,26.121875,25.95,1.79905609211626,22.6,28.9
"2010",354,19.9776836158192,20.15,9.72709100579553,0.9,34.4
"2011",236,21.6762711864407,22.75,9.02460634342599,3.1,34.6
"2012",351,20.788603988604,22.1,8.27390984031033,5.6,33.1
"2013",365,19.0293150684932,17.6,8.3779335240843,4.7,32.4
"2014",356,17.935393258427,18.75,9.05329977115088,1.3,31.6
"2015",262,14.5522900763359,15,6.76940197983363,3,27.2
"2016",327,8.74097859327217,6.8,9.95834743830493,0,32
"2017",361,20.7360110803324,21.6,6.99630693373211,5.2,32.7
"2018",361,19.9836565096953,18.8,8.85777962731807,1.3,32.9
"2019",180,12.7077777777778,11.4,4.8395767804663,5.6,27.7
