"OrganizationIdentifier","OrganizationFormalName","ActivityIdentifier","ActivityTypeCode","ActivityMediaName","ActivityMediaSubdivisionName","ActivityStartDate","ActivityStartTime.Time","ActivityStartTime.TimeZoneCode","ActivityEndDate","ActivityEndTime.Time","ActivityEndTime.TimeZoneCode","ActivityDepthHeightMeasure.MeasureValue","ActivityDepthHeightMeasure.MeasureUnitCode","ActivityDepthAltitudeReferencePointText","ActivityTopDepthHeightMeasure.MeasureValue","ActivityTopDepthHeightMeasure.MeasureUnitCode","ActivityBottomDepthHeightMeasure.MeasureValue","ActivityBottomDepthHeightMeasure.MeasureUnitCode","ProjectIdentifier","ActivityConductingOrganizationText","MonitoringLocationIdentifier","ActivityCommentText","SampleAquifer","HydrologicCondition","HydrologicEvent","SampleCollectionMethod.MethodIdentifier","SampleCollectionMethod.MethodIdentifierContext","SampleCollectionMethod.MethodName","SampleCollectionEquipmentName","ResultDetectionConditionText","CharacteristicName","ResultSampleFractionText","ResultMeasureValue","ResultMeasure.MeasureUnitCode","MeasureQualifierCode","ResultStatusIdentifier","StatisticalBaseCode","ResultValueTypeName","ResultWeightBasisText","ResultTimeBasisText","ResultTemperatureBasisText","ResultParticleSizeBasisText","PrecisionValue","ResultCommentText","USGSPCode","ResultDepthHeightMeasure.MeasureValue","ResultDepthHeightMeasure.MeasureUnitCode","ResultDepthAltitudeReferencePointText","SubjectTaxonomicName","SampleTissueAnatomyName","ResultAnalyticalMethod.MethodIdentifier","ResultAnalyticalMethod.MethodIdentifierContext","ResultAnalyticalMethod.MethodName","MethodDescriptionText","LaboratoryName","AnalysisStartDate","ResultLaboratoryCommentText","DetectionQuantitationLimitTypeName","DetectionQuantitationLimitMeasure.MeasureValue","DetectionQuantitationLimitMeasure.MeasureUnitCode","PreparationStartDate","ProviderName","ActivityStartDateTime","ActivityEndDateTime"
"USGS-MS","USGS Mississippi Water Science Center","nwisms.01.01400601","Sample-Routine","Water","Groundwater",2014-07-16,"12:30:00","CDT",NA,NA,NA,NA,NA,"Below land-surface datum",489,"feet",529,"feet","National Water Quality Assessment Program (NAWQA)","U.S. Geological Survey-Water Resources Discipline","USGS-340031090030201","L-1980115 FUS btl type, mandatory info added per Manning, paa, 7/28/14 Samples were received chilled at the WHOI lab.  corrected station ID per Mike  pwg",NA,"Not applicable","Not applicable","4045","USGS parameter code 82398","Submersible multiple impeller (turbine) pump","Line-shaft turbine pump","Not Detected","Total Coliform","Total",NA,NA,NA,"Accepted",NA,"Actual",NA,NA,NA,NA,NA,NA,"50569",NA,NA,NA,NA,NA,"BAC47","USGS","Tot coliform, Colilert (24-28hr)","Standard Methods","USGS-Ohio Water Microbiology Laboratory, Columbus,OH (OWML)",NA,NA,"Historical Lower Reporting Limit",1,"MPN/100 ml",NA,"NWIS",2014-07-16 17:30:00,NA
"USGS-MS","USGS Mississippi Water Science Center","nwisms.01.00700322","Sample-Routine","Water","Groundwater",2007-04-25,"09:00:00","CDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"National Water Quality Assessment Program (NAWQA)","U.S. Geological Survey-Water Resources Discipline","USGS-334457090181801","A-1168501 Samples were preserved in field with nitric acid to pH<2",NA,"Not applicable","Not applicable","USGS","USGS","USGS","Unknown",NA,"Total Coliform","Total",1,"cfu/100ml",NA,"Accepted",NA,"Estimated",NA,NA,NA,NA,NA,NA,"90900",NA,NA,NA,NA,NA,"BAC52","USGS","Total coliform, MI MF method","EPA 821-R-02-024",NA,NA,NA,NA,NA,NA,NA,"NWIS",2007-04-25 14:00:00,NA
"USGS-MS","USGS Mississippi Water Science Center","nwisms.01.00700738","Sample-Routine","Water","Groundwater",2007-06-28,"12:00:00","CDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"National Water Quality Assessment Program (NAWQA)","U.S. Geological Survey-Water Resources Discipline","USGS-340159089552801","A-1808505 Samples were preserved in field with nitric acid to pH<2",NA,"Not applicable","Not applicable","USGS","USGS","USGS","Unknown",NA,"Total Coliform","Total",4,"cfu/100ml",NA,"Accepted",NA,"Actual",NA,NA,NA,NA,NA,NA,"90900",NA,NA,NA,NA,NA,"BAC52","USGS","Total coliform, MI MF method","EPA 821-R-02-024",NA,NA,NA,NA,NA,NA,NA,"NWIS",2007-06-28 17:00:00,NA
"USGS-MS","USGS Mississippi Water Science Center","nwisms.01.00700513","Sample-Routine","Water","Groundwater",2007-05-30,"14:00:00","CDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"National Water Quality Assessment Program (NAWQA)","U.S. Geological Survey-Water Resources Discipline","USGS-342520090071501","A-1518505 Samples were preserved in field with nitric acid to pH<2",NA,"Not applicable","Not applicable","USGS","USGS","USGS","Unknown","Not Detected","Total Coliform","Total",NA,NA,NA,"Accepted",NA,"Actual",NA,NA,NA,NA,NA,NA,"90900",NA,NA,NA,NA,NA,"BAC52","USGS","Total coliform, MI MF method","EPA 821-R-02-024",NA,NA,NA,"Historical Lower Reporting Limit",1,"cfu/100ml",NA,"NWIS",2007-05-30 19:00:00,NA
"USGS-MS","USGS Mississippi Water Science Center","nwisms.01.97401245","Sample-Routine","Water","Surface Water",1974-05-15,"13:10:00","CDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USGS-07281610",NA,NA,"Not determined","Routine sample","USGS","USGS","USGS","Unknown",NA,"Total Coliform","Total",1100,"cfu/100ml",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,NA,"31501",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS",1974-05-15 18:10:00,NA
"USGS-MS","USGS Mississippi Water Science Center","nwisms.01.97401260","Sample-Routine","Water","Surface Water",1974-05-15,"10:10:00","CDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USGS-07281615",NA,NA,"Not determined","Routine sample","USGS","USGS","USGS","Unknown",NA,"Total Coliform","Total",60,"cfu/100ml",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,NA,"31501",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS",1974-05-15 15:10:00,NA
"USGS-MS","USGS Mississippi Water Science Center","nwisms.01.97000575","Sample-Routine","Water","Surface Water",1970-07-14,"09:05:00","CDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USGS-07280000",NA,NA,"Not determined","Routine sample","USGS","USGS","USGS","Unknown",NA,"Total Coliform","Total",2340,"cfu/100ml",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,NA,"31501",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS",1970-07-14 14:05:00,NA
"USGS-MS","USGS Mississippi Water Science Center","nwisms.01.97000576","Sample-Routine","Water","Surface Water",1970-08-26,"07:10:00","CDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USGS-07280000",NA,NA,"Not determined","Routine sample","USGS","USGS","USGS","Unknown",NA,"Total Coliform","Total",7100,"cfu/100ml",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,NA,"31501",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS",1970-08-26 12:10:00,NA
"USGS-MS","USGS Mississippi Water Science Center","nwisms.01.97000573","Sample-Routine","Water","Surface Water",1970-04-15,"14:30:00","CST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USGS-07280000",NA,NA,"Not determined","Routine sample","USGS","USGS","USGS","Unknown",NA,"Total Coliform","Total",340,"cfu/100ml",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,NA,"31501",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS",1970-04-15 20:30:00,NA
"USGS-MS","USGS Mississippi Water Science Center","nwisms.01.97000574","Sample-Routine","Water","Surface Water",1970-05-27,"09:15:00","CDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USGS-07280000",NA,NA,"Not determined","Routine sample","USGS","USGS","USGS","Unknown",NA,"Total Coliform","Total",1200,"cfu/100ml",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,NA,"31501",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS",1970-05-27 14:15:00,NA
"USGS-MS","USGS Mississippi Water Science Center","nwisms.01.97401264","Sample-Routine","Water","Surface Water",1974-05-15,"18:25:00","CDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USGS-07281615",NA,NA,"Not determined","Routine sample","USGS","USGS","USGS","Unknown",NA,"Total Coliform","Total",250,"cfu/100ml",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,NA,"31501",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS",1974-05-15 23:25:00,NA
"USGS-MS","USGS Mississippi Water Science Center","nwisms.01.97401266","Sample-Routine","Water","Surface Water",1974-05-16,"01:40:00","CDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USGS-07281615",NA,NA,"Not determined","Routine sample","USGS","USGS","USGS","Unknown",NA,"Total Coliform","Total",3500,"cfu/100ml",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,NA,"31501",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS",1974-05-16 06:40:00,NA
"USGS-MS","USGS Mississippi Water Science Center","nwisms.01.97401262","Sample-Routine","Water","Surface Water",1974-05-15,"13:30:00","CDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USGS-07281615",NA,NA,"Not determined","Routine sample","USGS","USGS","USGS","Unknown",NA,"Total Coliform","Total",350,"cfu/100ml",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,NA,"31501",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS",1974-05-15 18:30:00,NA
"USGS-MS","USGS Mississippi Water Science Center","nwisms.01.97401243","Sample-Routine","Water","Surface Water",1974-05-15,"06:50:00","CDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USGS-07281610",NA,NA,"Not determined","Routine sample","USGS","USGS","USGS","Unknown",NA,"Total Coliform","Total",830,"cfu/100ml",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,NA,"31501",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS",1974-05-15 11:50:00,NA
"USGS-MS","USGS Mississippi Water Science Center","nwisms.01.97401247","Sample-Routine","Water","Surface Water",1974-05-15,"18:40:00","CDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USGS-07281610",NA,NA,"Not determined","Routine sample","USGS","USGS","USGS","Unknown",NA,"Total Coliform","Total",1000,"cfu/100ml",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,NA,"31501",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS",1974-05-15 23:40:00,NA
"USGS-MS","USGS Mississippi Water Science Center","nwisms.01.97401277","Sample-Routine","Water","Surface Water",1974-05-15,"09:55:00","CDT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USGS-07281618",NA,NA,"Not determined","Routine sample","USGS","USGS","USGS","Unknown",NA,"Total Coliform","Total",1500,"cfu/100ml",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,NA,"31501",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS",1974-05-15 14:55:00,NA
