"site","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"07282000","0","0","0","0","0","46","226","0","1","366","365","335","335","0","0","1","342","364","356","365","365","300","357","362","362","360","345","251","307","328","365","365","365","365","365","365","181"
"07282075","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"07282090","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","112","353","256","354","336","340","292","317","353","359","366","343","362","344","0","0","0","0","0","0","0","0"
"07282100","0","0","0","0","0","0","0","0","0","366","365","267","365","365","359","1","365","346","365","364","364","1","365","365","354","313","365","358","365","345","355","349","359","342","348","348","178"
"07282500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"07283000","0","0","0","0","0","21","255","317","246","301","293","365","257","351","365","365","360","360","365","365","363","365","308","365","361","366","365","363","361","366","365","358","365","360","365","363","169"
"07283500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"07284500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"07285000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"07285400","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"07285500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","365","329","359","365","350","361","362","365","353","365","366","335","350","180"
"07285510","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"07285900","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"07286000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"07287000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"07287120","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"07287150","0","0","0","0","0","0","0","0","0","0","0","0","0","359","365","357","365","353","362","356","323","0","1","353","349","359","365","365","364","0","0","0","0","0","0","0","0"
"07287160","0","0","0","0","0","0","0","0","0","0","0","0","365","331","338","355","365","346","314","336","365","331","304","329","338","361","357","348","348","0","0","0","0","177","365","18","0"
"07287355","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
