USGS_gage,Long,Lat,HUC8,Watershed,Site_name
7273100,-89.8786111,34.36388889,8030201,Little Tallahatchie,Hotopha Creek near Batesville MS 
7278500,-90.12426,34.75732244,8030204,Coldwater,Coldwater River at Arkabutla Dam MS 
7275000,-89.9039783,34.15816665,8030203,Yocona,Yocona River at Enid Dam MS 
7281600,-90.2111111,33.65138889,8030202,Tallahatchie,Tallahatchie River at Money MS 
7285500,-89.8097222,33.78777778,8030205,Yalobusha,Yalobusha River at Grenada MS
