"WaterYear","Count","Mean","Median","StDev","Min","Max"
"2008",1,4.1,4.1,NA,4.1,4.1
"2009",341,67.0504398826979,14.1,99.4994802297098,1,610
"2010",326,56.3036809815951,12.55,84.901084084459,2.5,429
"2011",263,31.9475285171103,10.6,62.9609037750714,1.4,340
