"WaterYear","Count","Mean","Median","StDev","Min","Max"
"1992",351,168.89792022792,6.2,1066.72514905492,1.2,13300
"1993",365,134.626301369863,6.6,836.131287835885,0.13,8530
"1994",365,219.767917808219,7.1,1274.61503283357,1.46,14500
"1995",365,208.872246575342,8.1,1036.14651134898,0.73,11400
"1996",366,165.852540983607,16.1,1096.8753694273,1.28,16700
"1997",365,237.699945205479,16.6,1095.88435750777,2.06,13300
"1998",365,137.575232876712,19.7,606.3732010711,1.59,5770
"1999",365,174.137671232877,14.8,764.41658132077,1.67,6520
"2000",366,91.8935792349727,10.3,642.467004909428,2.01,9960
"2001",365,184.66602739726,13,680.109110022061,2.3,7580
"2002",365,187.36802739726,9.13,689.754565965912,1.73,5410
"2003",364,113.723901098901,6.75,471.237563345288,2,4150
