"WaterYear","Count","Mean","Median","StDev","Min","Max"
"1986",236,236.258601694915,2.1,2098.6180228725,0.58,30500
"1987",365,773.472246575342,3,4836.04864768123,0.21,62000
"1988",366,599.355273224044,3.25,5612.32626764371,0.15,103000
"1989",365,1795.94871232877,8.3,8258.82020882618,0.42,102000
"1990",365,910.479095890411,2.98,6791.71356941063,0.32,118000
"1991",365,918.436383561644,4.55,4223.42467982677,0.93,42100
"1992",366,599.118442622951,6.27,3503.77853065055,0.5,39000
"1993",365,327.43895890411,11.4,2589.41512075604,0.37,38300
"1994",365,519.007205479452,13.3,2843.21641469548,1.4,32600
"1995",365,279.822246575342,6.44,1240.06101447522,0.38,12200
"1996",366,203.359043715847,5.95,1135.53390454991,0.74,17800
"1997",365,635.780164383562,9.23,3160.97383936849,2.16,38500
"1998",365,376.912082191781,6.71,1706.81347082353,1.03,20700
"1999",365,416.664821917808,4.33,2912.89849834683,1.47,33000
"2000",366,83.7546448087432,2.8,614.749771718284,1.6,8800
"2001",365,242.053150684931,3.2,2655.15534520435,1.1,49100
"2002",365,938.948657534247,5.22,3748.13310558694,1.17,25900
"2003",365,1252.30356164384,8.9,7792.48614485531,1.7,87700
"2004",366,433.574098360656,8.41,4093.84844034815,2.24,66900
"2005",365,287.334356164384,7.22,2283.1273829865,2.44,36900
"2006",365,250.325369863014,4.79,1996.49270527964,2.12,33900
"2007",365,72.5354520547945,3.84,534.283240865665,2.39,8080
"2008",366,259.955,4.56,2106.45498263032,1.55,31300
"2009",365,293.421780821918,5.18,1537.10193704391,2.59,14300
"2010",364,462.659945054945,8.875,3405.33900206768,2.44,57800
