"WaterYear","Count","Mean","Median","StDev","Min","Max"
"1992",366,7.70827868852459,7.595,1.36181065565149,6.1,18.44
"1993",365,7.9512602739726,8,1.68880998829852,5.87,14.82
"1994",267,8.52558052434457,8.51,1.7127871418549,5.82,19.74
"1995",365,9.42213698630137,9.13,1.50250462429184,7.75,19
"1996",365,9.61745205479452,9.4,1.31741185080653,7.82,17.69
"1997",359,10.7524512534819,10.64,1.60937758441247,8.09,19.96
"1998",1,8.91,8.91,NA,8.91,8.91
"1999",365,10.820301369863,10.56,1.63504668318046,8.68,17.99
"2000",346,10.1028323699422,9.89,1.323776136201,8.22,20.12
"2001",365,10.9167397260274,10.64,1.69502862327446,8.17,20.88
"2002",364,11.7609615384615,11.605,1.65111529504299,9.34,19.06
"2003",364,12.8808791208791,12.76,1.35120181041006,10.85,19.28
"2004",1,6.14,6.14,NA,6.14,6.14
"2005",365,7.60808219178082,6.86,1.89131753711348,6.14,17.28
"2006",365,7.56287671232877,6.94,1.71124599506836,6.2,15.22
"2007",354,7.76237288135593,7.41,1.47831445130579,6.27,17.01
"2008",313,7.66031948881789,7.36,1.34173272020605,6.26,14.67
"2009",365,8.85150684931507,8.35,2.16036262678542,6.47,20.38
"2010",358,8.72846368715084,8.38,2.15361038471537,6,17
"2011",365,7.54139726027397,7.14,1.50402700046387,6,16.87
"2012",345,8.29846376811594,7.61,1.63835823044615,6.66,16.19
"2013",355,9.86149295774648,9.87,1.85611731676485,6.92,15.98
"2014",349,10.3228080229226,10.07,1.37066710008149,8.36,17.93
"2015",359,10.681364902507,10.31,1.68983655220797,8.56,16.83
"2016",342,10.2947076023392,9.845,1.74795894443709,8.12,17.92
"2017",348,10.7129310344828,10.92,1.55388813288602,7.7,17.02
"2018",348,11.6058764367816,10.96,1.31017695054853,10.91,18.31
"2019",178,12.3932696629213,12.0225,1.58622227383564,11.031,20.551
