"WaterYear","Count","Mean","Median","StDev","Min","Max"
"1988",46,6.3245652173913,5.95,1.03524061941976,5.67,10.26
"1989",226,7.93371681415929,6.915,2.78558294547408,5.91,21.31
"1991",1,8.52,8.52,NA,8.52,8.52
"1992",366,9.69054644808743,9.5,1.60190049005188,8.05,21.7
"1993",365,9.92884931506849,9.9,1.7714626699335,7.84,18.65
"1994",335,11.0690149253731,10.74,2.0498656118689,8.16,23.07
"1995",335,11.4625970149254,11.08,1.80854247117698,9.69,21.39
"1998",1,10.82,10.82,NA,10.82,10.82
"1999",342,12.7083918128655,12.33,1.82879703061064,10.62,23.06
"2000",364,11.9125824175824,11.725,1.26117240977716,10.11,21.78
"2001",356,12.8119382022472,12.49,1.86046379394081,10,22.42
"2002",365,13.7714794520548,13.5,1.96324677896045,11.22,22.72
"2003",365,14.8744657534247,14.65,1.57822756755966,12.76,22.32
"2004",300,11.0335,10.765,3.04882247404811,6.96,21.22
"2005",357,8.98983193277311,8.11,2.57481699465102,6.81,21
"2006",362,9.12939226519337,8.51,2.1779690572005,6.96,19
"2007",362,9.32762430939226,9.15,1.85170906824588,6.74,21.19
"2008",360,9.29097222222222,9.05,1.64265628326939,6.54,18.54
"2009",345,10.6182028985507,10.11,2.43107001384182,8.05,22.52
"2010",251,11.4481673306773,10.92,2.50177965214534,7,20.78
"2011",307,9.37273615635179,8.7,2.13694539617592,7,20.42
"2012",328,9.87039634146342,9.23,1.88089757387574,7.33,18.68
"2013",365,11.7097534246575,11.69,2.1347487935495,8.06,19.2
"2014",365,12.1693424657534,11.85,1.51838064603088,10.26,21.02
"2015",365,12.6070684931507,12.24,1.75853192024671,10.45,18.64
"2016",365,12.3210684931507,11.83,1.93314260692335,10.25,22
"2017",365,11.9237808219178,11.79,1.38313962655773,10.04,19.68
"2018",365,12.7610684931507,12.26,1.95992408695196,10.65,20.41
"2019",181,14.198453038674,13.89,2.2373587687902,11.03,23.94
