"WaterYear","Count","Mean","Median","StDev","Min","Max"
"1993",88,9.73034090909091,9.025,2.51801940451729,6.77,20.84
"1994",335,10.8162388059701,9,4.83494306417552,6.58,26.77
"1996",362,8.87864640883978,8.185,2.80337441934087,6.63,23.68
"1997",344,11.001976744186,9.77,3.96143054225977,6.56,24.79
"1998",320,10.05365625,8.67,3.70069002385033,6.6,23.15
"1999",337,10.01646884273,8.69,4.14108052451104,6.52,26.54
"2000",357,8.6024649859944,7.65,3.27903796473782,6.54,26.38
"2001",361,10.5401385041551,8.52,4.77240612883492,6.44,25.57
"2002",362,11.9699447513812,9.475,5.6302218726165,6.59,27.88
"2003",303,10.3188448844884,8.72,4.14419537230166,6.76,24.82
"2004",358,9.77248603351955,8.175,4.05264829810036,6.62,23.53
"2005",365,10.2545753424658,8.49,4.20903582547827,6.54,23.79
"2006",325,9.16390769230769,7.46,4.0396808551179,6.48,24.94
"2007",344,8.54831395348837,7.36,3.3371131629991,6.31,23.64
"2008",354,9.76372881355932,8.085,4.1002981574605,6.23,26.45
"2009",310,9.91251612903226,8.09,4.44266794876404,6.35,25.32
"2010",344,9.92997093023256,8.235,4.38363032975605,6.13,26.76
"2011",349,7.59412607449857,6.81,2.22284847445375,5.95,20.89
"2012",340,8.25073529411765,7.435,2.85476071672971,5.86,22.12
"2013",365,10.0280273972603,8.51,4.31291377366016,5.79,26.18
"2014",362,10.0717403314917,8.43,4.37767782823754,5.86,24.59
"2015",362,9.5724861878453,7.905,4.21423020064391,5.82,22.99
"2016",327,10.8749235474006,8.83,5.21077263476275,5.76,29.29
"2017",348,8.81247126436782,7.575,3.26392414000067,6.17,23.51
"2018",365,10.7012876712329,8.6,5.41685867941302,6.17,27.53
"2019",124,13.0563709677419,11.355,6.1946709768696,6.31,28.22
