"WaterYear","Count","Mean","Median","StDev","Min","Max"
"1993",205,7.85551219512195,6.1,4.17493845863972,3.88,22.34
"1994",365,9.99364383561644,7.1,6.23579613555695,3.75,30.33
"1995",365,7.87331506849315,6,5.00387884950955,3.79,27.37
"1996",334,6.70697604790419,5.46,3.46299625765112,3.52,21.91
"1997",365,10.4458904109589,7.6,6.10822730071401,3.79,28.08
"1998",358,7.93991620111732,5.74,5.16064359260324,3.84,25.81
"1999",365,8.33717808219178,6.2,5.63287153591999,3.93,30.64
"2000",356,6.66115168539326,5.145,4.67750548296033,3.67,28.63
"2001",365,8.60764383561644,5.72,6.17162649178619,3.63,30.31
"2002",339,11.6029498525074,7.11,8.16478577646617,3.98,33.64
"2003",339,10.8794985250737,6.51,7.7764624026133,4.09,32.33
"2004",349,8.26779369627507,5.57,5.6349316411998,4.01,26.13
"2005",352,8.67684659090909,5.805,5.74888950002704,4,26.34
"2006",365,7.51035616438356,5.11,5.91198049170808,4.05,31.47
"2007",359,6.70437325905292,5.12,3.90207545190448,3.75,22.68
"2008",365,7.91558904109589,5.69,4.98631462224031,3.72,24.93
"2009",362,9.21914364640884,6.13,6.02672433332029,4.3,30.16
"2010",365,9.64293150684932,6.24,6.4127821282511,4.08,29.56
"2011",352,6.43474431818182,4.95,4.19160026182762,3.91,27.57
"2012",366,6.96062841530055,5.015,4.53629386942311,3.65,24.36
"2013",364,8.81634615384615,5.7,6.19774606688589,3.6,30.16
"2014",365,8.78071232876712,6.24,5.2374719215053,3.9,24.53
"2015",362,8.44883977900552,5.66,5.55872639130329,3.85,24.51
"2016",362,10.1984806629834,6.28,8.13801606298816,3.81,37.28
"2017",351,6.49752136752137,5.14,3.57312713923162,3.69,19.14
"2018",357,9.75434173669468,5.75,7.90058157621567,3.66,33.32
"2019",172,14.5322674418605,12.8,8.70684909392777,3.69,36.12
