"WaterYear","Count","Mean","Median","StDev","Min","Max"
"1988",47,8.90297872340425,8.57,0.927338207835404,8.51,13.93
"1989",327,11.9463608562691,10.68,3.7160367805023,8.28,26.09
"1990",1,8.5,8.5,NA,8.5,8.5
"1991",358,11.8408100558659,10.325,4.17194721918608,8.42,28.13
"1992",363,858.93738292011,161.83,3571.62807168768,19.12,43253.29
"1993",337,10.8583086053412,10.13,2.6205466395761,8.69,22.54
"1994",365,11.5855616438356,10.33,3.54031778617347,8.87,26.66
"1995",324,11.5772222222222,10.52,3.43262434692769,8.85,25.51
"1996",256,11.8402734375,10.745,3.7293199090132,8.96,25.97
"2000",1,8.66,8.66,NA,8.66,8.66
"2001",357,10.8834733893557,9.76,3.19606828907317,8.63,26.02
"2002",340,11.8315294117647,10.34,4.30213098212188,8.19,28.56
"2003",361,12.0468975069252,10.59,3.69139966122749,9.16,26.1
"2004",361,11.6268421052632,10.55,3.30404003540447,9.01,27.42
"2005",365,11.735095890411,10.62,3.61624491112857,9.01,27.4
"2006",365,10.7904109589041,9.84,2.69053950958294,9.08,25.27
"2007",365,10.2486575342466,9.75,2.01317954344694,8.96,25.03
"2008",353,10.9798583569405,10.12,2.67524738284625,9.04,24.39
"2009",352,11.6759659090909,10.485,3.33689359935575,8.98,26.73
"2010",353,12.0889235127479,11.14,3.27996041365682,9.17,28.79
"2011",365,10.7282739726027,9.92,2.75498918677339,8.83,27.6
"2012",355,10.6521690140845,9.81,2.30928941418615,8.97,23.03
"2013",365,11.3696712328767,10.34,2.88056921675115,9.2,26.19
"2014",360,10.9233333333333,10.335,2.1838777451064,9.33,24.7
"2015",346,12.3834682080925,11.105,3.21832346225205,9.52,27.8
"2016",366,11.7995355191257,10.77,2.98206530483432,9.58,25.65
"2017",349,10.8170773638968,10.46,1.55765353564298,9.58,21.77
"2018",343,12.3116034985423,10.98,3.52674543824566,9.67,25.41
"2019",168,14.0554166666667,12.625,3.91482547605689,10.33,30.62
