"WaterYear","Count","Mean","Median","StDev","Min","Max"
"2006",365,6.68608219178082,4.92,3.36817021506063,2.53,16.41
"2007",329,6.67811550151976,4.62,3.41911628844879,3.01,17.62
"2008",359,5.55707520891365,4.51,2.18104802147533,3.42,12.56
"2009",365,9.09342465753425,9.01,2.80036684173546,3.77,23.24
"2010",350,9.62925714285714,8.75,3.6014779705916,2.6,17.36
"2011",361,5.96362880886427,4.8,2.15534512978805,3,17.54
"2012",362,6.3475138121547,5.735,2.35502478207458,3.87,13.7
"2013",365,8.71221917808219,8.95,2.90858123266204,3.26,15.63
"2014",353,7.71492917847026,7.51,2.59636887132641,3.77,17.5
"2015",365,9.28295890410959,9.79,1.90762812596895,3.74,15.12
"2016",366,8.23079234972678,8.71,2.74452903873041,3.73,17.82
"2017",335,6.04797014925373,5.44,1.81659517313527,3.29,16.23
"2018",350,8.71364857142857,8.355,2.62142812177524,4.04,17.6
"2019",180,11.3430833333333,11.9325,2.91729449329589,4.257,24.74
