"WaterYear","Count","Mean","Median","StDev","Min","Max"
"1988",21,4.38666666666667,4.19,0.731268304614205,4.13,7.51
"1989",255,5.95447058823529,5.15,2.38656500719766,4.08,18.85
"1990",317,7.68867507886435,4.89,7.01390031338609,3.71,28.22
"1991",246,5.71434959349593,4.285,3.46713340744781,3.76,29.83
"1992",301,4.2346511627907,3.85,1.3962598711941,3.09,13.52
"1993",293,4.96744027303754,4.62,1.61060481727009,3.43,17
"1994",365,5.14969863013699,4.48,2.28946060328227,3.44,21.52
"1995",257,5.19634241245136,4.44,2.84423908010486,3.11,23.59
"1996",351,4.47492877492877,3.89,1.87459296398626,3.05,14.99
"1997",365,5.42745205479452,4.54,2.98505753548236,3.09,23.11
"1998",365,4.54838356164384,3.71,2.15419202000882,3.12,16.38
"1999",360,4.52738888888889,3.62,2.53687168658443,2.77,20.64
"2000",360,3.40594444444444,2.985,1.757223118681,2.55,22.54
"2001",365,3.98805479452055,3.11,2.50247268864794,2.28,22.44
"2002",365,4.64879452054794,3.63,3.50859316754658,2.28,21.74
"2003",363,4.31661157024793,3.38,2.83879542787116,1.96,23.09
"2004",365,4.09649315068493,3.36,2.63111564480812,1.94,21.65
"2005",308,3.74094155844156,3.05,2.61830889236867,1.7,19.96
"2006",365,3.01586301369863,2.25,2.16282048578024,1.62,16.34
"2007",361,2.73229916897507,2.13,1.96036390590692,1.33,20.7
"2008",366,2.72724043715847,2.2,1.65921859215479,1.29,13.34
"2009",365,3.67246575342466,2.69,2.98191655163912,1.56,23.18
"2010",363,3.65520661157025,2.85,2.74229722806044,1.66,21.5
"2011",361,2.51060941828255,2.01,1.80646913582514,1.25,17.19
"2012",366,2.65535519125683,1.92,1.94044063900278,1.18,14.36
"2013",365,3.22219178082192,2.52,2.56961217333683,1.27,20.13
"2014",358,2.85284916201117,2.175,2.21385432293513,1.31,18.36
"2015",365,3.63309589041096,2.59,2.88113978974164,1.39,21.75
"2016",360,2.97022222222222,2.17,2.43645913122138,1.44,18.15
"2017",365,2.21260273972603,1.8,1.50689224933018,1.18,14.99
"2018",363,2.9134435261708,1.98,2.77374679063216,1.16,20.95
"2019",169,4.81650887573965,3.47,4.40049580555898,1.34,31.14
