"WaterYear","Count","Mean","Median","StDev","Min","Max"
"1998",112,6.815,6.56,0.744667529659867,6.36,11.87
"1999",359,7.88454038997214,7.02,2.63726787438083,6.31,28.63
"2000",338,6.98346153846154,6.61,2.12964036890979,5.73,29.27
"2001",350,7.38671428571429,6.68,2.36964006638307,6.04,28.46
"2002",359,7.90389972144847,6.75,3.27887215773772,6.2,29.24
"2003",362,7.95516574585635,6.86,2.95739124767806,6.19,27.75
"2004",354,7.56793785310734,6.7,2.4601323086974,6.15,23.98
"2005",353,7.31603399433428,6.59,2.14795320622071,6.08,22.09
"2006",358,6.94740223463687,6.33,1.78286701728972,5.93,17.46
"2007",364,6.70879120879121,6.3,1.45095909017278,5.75,21.28
"2008",365,6.48347945205479,6.2,1.02869340082495,5.88,17.08
"2009",344,7.24988372093023,6.365,2.63004417224422,5.85,27.5
"2010",365,7.17772602739726,6.41,2.26890992161988,5.67,19.54
"2011",360,6.46641666666667,6.01,1.61857590480336,5.57,19.85
