"WaterYear","Count","Mean","Median","StDev","Min","Max"
"1994",1,7.76,7.76,NA,7.76,7.76
"1995",257,6.3836186770428,6.08,0.939218289137198,5.57,11.95
"2006",357,4.34649859943978,4.25,0.811315209199118,3.78,10.22
"2007",365,3.94383561643836,3.79,0.606288089631557,3.59,8.55
"2008",364,4.08269230769231,3.75,1.04388863166171,3.47,13.49
"2009",365,3.92076712328767,3.59,1.1467294453768,3.06,10.26
"2010",365,3.58676712328767,3.26,1.17402354236916,2.85,15.35
"2011",360,3.60158333333333,3.365,1.22285956199252,2.91,18.59
