"WaterYear","Count","Mean","Median","StDev","Min","Max"
"1993",360,4.03241666666667,2.415,4.41220243814279,-0.2,18.5
"1994",235,8.6403829787234,7.27,7.09579213985421,-0.19,24.47
"2002",1,18.94,18.94,NA,18.94,18.94
"2003",365,7.36969863013699,3.62,7.50865776237292,-0.3,24.98
"2004",366,5.06185792349727,2.065,6.32304498707119,-0.52,21.58
"2005",365,5.59460273972603,2.65,6.26542226184503,-0.46,23.83
"2006",365,3.93172602739726,1.09,6.3349435179236,-0.55,24.03
"2007",358,3.14405027932961,1.3,4.69484914339722,-0.85,19.98
"2008",366,4.49393442622951,2.11,5.52206521184851,-0.72,21.81
"2009",363,6.0968870523416,2.71,6.9153371826026,-0.58,26.06
"2010",363,6.36231404958678,2.7,7.08558470787568,-0.51,25.01
"2011",360,2.55638888888889,0.95,4.28864248137145,-0.62,20.57
"2012",361,3.39534626038781,1.23,5.06712541281693,-0.85,18.85
"2013",364,5.95486263736264,3.16,6.67378880441035,-0.8,25.4
"2014",357,6.13865546218487,3.9,5.9083046567926,-0.66,21.46
"2015",361,5.08196675900277,1.96,6.20549651151683,-0.74,21.04
"2016",362,6.92917127071823,3.69,7.91023092759787,-0.75,27.97
"2017",365,3.08734246575342,1.51,4.12677478376413,-0.79,16.55
"2018",365,6.47608219178082,2.48,8.1857501313567,-0.99,27.28
"2019",181,11.5496132596685,11.53,8.80214243898993,-0.83,27.82
