"WaterYear","Count","Mean","Median","StDev","Min","Max"
"1992",366,99.4617486338798,55,216.108286938537,28,2980
"1993",365,100.898630136986,57,196.795085380673,28,1860
"1994",365,118.734246575342,46,290.996182246764,30,2790
"1995",365,142.101369863014,57,325.808543056942,30,4100
"1996",366,102.524590163934,48,211.846786705635,31,2550
"1997",365,151.975342465753,55,331.188480823075,26,2690
"1998",365,101.402739726027,50,179.479894166605,27,1590
"1999",365,132.928767123288,51,298.84759497414,23,2450
"2000",366,85.1174863387978,33,338.371644380535,18,4470
"2001",365,150.41095890411,46,327.375286027444,19,3890
"2002",365,147.657534246575,54,326.005823920627,24,3320
"2003",364,110.653846153846,54,200.718038768554,31,2210
"2005",1,38,38,NA,38,38
"2006",365,82.6328767123288,36,150.764847331457,22.6,1180
"2007",365,76.5621917808219,37.3,187.135752997999,22.7,2510
"2008",366,64.377868852459,32.05,97.382642130528,23,958
"2009",365,161.861369863014,46.4,380.242564879933,24.4,3410
"2010",365,111.271506849315,60,200.162614136601,26.2,2090
"2011",364,59.0137362637363,33.45,171.216818154817,19.9,2860
