"WaterYear","Count","Mean","Median","StDev","Min","Max"
"1996",1,267,267,NA,267,267
"1997",365,304.252054794521,151,619.77454871824,60,6700
"1998",365,240.652054794521,109,372.575624047659,55,2480
"1999",365,222.065753424658,95,421.271187297478,45,3040
"2000",366,103.043715846995,75,119.115108372502,34,815
"2001",365,141.920547945205,63,367.577459489797,35,4010
"2002",365,414.737260273973,105,984.341603230106,41.3,13400
"2003",365,337.141643835616,100,807.996668961101,57.2,8250
"2004",366,242.648907103825,119,382.86545064836,61,3740
"2005",365,246.8,120,346.496710575383,59.5,3080
"2006",365,149.919452054795,76.1,298.452666981333,38,3470
"2007",365,105.071780821918,66.7,128.300489915196,38.1,957
"2008",365,212.799726027397,78.6,423.260560093536,42.8,3920
"2013",341,226.188856304985,81.9,465.762446259937,45.9,4870
"2014",365,213.073424657534,88.7,371.887394454892,48,2920
"2015",365,173.872328767123,78.9,298.290399613246,43.5,2610
"2016",366,264.258469945355,92.25,707.746670738734,45.5,10200
"2017",364,108.492857142857,71,117.552170956122,44.3,1040
"2018",365,314.445753424658,78.6,766.01419223704,45.7,5730
"2019",181,403.913259668508,133,798.621181816152,54.5,6990
