"WaterYear","Count","Mean","Median","StDev","Min","Max"
"1909",183,2390.63387978142,515,3903.3645647901,35,15900
"1910",183,1957.44808743169,465,3426.11540452849,60,17600
"1911",364,2135.87912087912,408,3757.16252786995,80,17000
"1929",365,1049.61095890411,240,2297.32292526682,47,17800
"1930",365,1672.72602739726,526,3658.84809704643,41,33800
"1931",365,900.443835616438,402,1150.0349709191,46,5120
"1932",183,1142.11475409836,505,1404.37725941399,155,7790
"1933",365,3606.97534246575,1330,4911.75039880485,89,29200
"1934",365,577.684931506849,216,1242.98225298206,70,8900
"1935",365,2178.6301369863,636,3483.58683058599,62,21900
"1936",366,1016.22404371585,230,1978.65272803492,62,12100
"1937",365,1278.3698630137,259,2513.71167440824,58,17700
"1938",365,1395.47945205479,332,1888.96228059646,58,8900
"1939",365,1738.31506849315,364,2657.593568162,55,19500
"1940",366,1560.17213114754,300,3141.57455598902,44,27300
"1941",365,1487.12054794521,590,2047.05467369013,63,16500
"1942",365,1804.03835616438,533,2690.03534407467,59,14400
"1943",365,818.260273972603,152,2067.2888681771,45,16000
"1944",366,2391.09289617486,343.5,6845.95085820739,38,72300
"1945",365,2191.89863013699,522,3761.55198536416,43,27800
"1946",365,3024.58082191781,842,5737.14783804333,76,37500
"1947",365,2907.53150684932,826,5124.18157359221,62,43500
"1948",366,2846.87158469945,416,7713.68053525052,57,77300
"1949",365,4148.03287671233,1180,7705.84483135044,82,58600
"1950",365,2412.8301369863,820,4305.13050863061,112,31700
"1951",365,3213.92328767123,578,6523.19794109564,81,54800
"1952",366,1416.59016393443,316.5,2038.25452490275,54,9800
"1953",182,2319,280,4440.93119248132,50,25900
"1991",365,4441.26301369863,4650,3010.10214803796,30,21900
"1992",366,1850.46721311475,515,2200.31963873904,78,8600
"1993",365,1685.29315068493,1540,1289.46247173944,210,8790
"1994",365,2248.17534246575,2270,1534.90060420046,166,12100
"1995",365,3222.9095890411,3280,1697.42138954107,41,10500
"1996",366,2203.46721311475,1820,1570.22241955313,374,10600
"1997",365,3760.01369863014,3660,1569.99170303987,679,12400
"1998",365,2649.22739726027,2500,1977.68971535889,237,8880
"1999",365,2587.81917808219,2160,2101.09800969267,48,9810
"2000",366,1107.40710382514,706,1260.89816035979,137,15300
"2001",365,2414.88767123288,2430,1898.92154788972,163,14200
"2002",365,3718.93424657534,3330,1905.90201916405,300,15100
"2003",365,3932.19178082192,3730,1770.57565651027,224,13600
"2004",366,3002.85792349727,2925,1880.30447010768,277,13700
"2005",365,2453.75342465753,2210,2101.23333602914,43,9700
"2006",365,1690.90410958904,661,1971.77919575791,42,8390
"2007",365,1544.85479452055,503,1695.27515782116,86,9610
"2008",366,934.877049180328,416.5,977.068118469409,147,5250
"2009",365,2650.05753424658,2340,1876.1305952457,155,17200
"2010",365,3227.57424657534,2700,2223.69721680521,48.2,9280
"2011",365,1195.18383561644,579,1110.63673049657,83.2,9520
"2012",366,1215.15573770492,832.5,1077.2563909505,202,5820
"2013",365,2373.18520547945,2280,1587.55858313651,55.7,7900
"2014",365,1702.67561643836,1540,1336.44427994111,73.7,9100
"2015",365,2319.94876712329,2460,1052.70385148622,42.6,6740
"2016",366,1985.02322404372,2080,1462.0817850488,42.5,10400
"2017",336,822.050892857143,504.5,812.440633954687,42.1,7940
"2018",351,2135.15156695157,1690,1639.81748931889,49.6,9710
"2019",181,3670.65801104972,3840,2427.22093789137,70.1,21400
