"WaterYear","Count","Mean","Median","StDev","Min","Max"
"1975",85,31.5327058823529,10.8,85.8143952763093,3.5,719
"1976",366,63.0184972677596,12.4,202.098008417275,2.9,1760
"1977",365,51.101095890411,12,232.6952792083,2,2780
"1978",365,70.8273424657534,16,258.301552441603,2.3,2940
"1979",365,118.204657534247,18,345.896035967497,2.6,2870
"1980",366,140.240710382514,13.5,461.22767890726,3.4,5500
"1981",365,31.5956164383562,9.5,87.095513096891,1.44,844
"1982",365,70.0786301369863,8.5,313.992044385966,1.9,4570
"1983",365,170.329095890411,34,503.699825442796,3.6,6470
"1984",366,124.156366120219,35.55,414.631566885911,3.43,6200
"1985",365,65.1458082191781,22,151.31940437118,3.58,1430
"1986",365,42.4527397260274,10.6,162.89266718178,1.94,1790
"1987",364,85.8384615384615,22,248.266481627212,2.3,2640
