"WaterYear","Count","Mean","Median","StDev","Min","Max"
"1987",287,79.2209059233449,28,239.052895180714,5.7,2380
"1988",366,78.3775956284153,13,257.551340466558,1.8,2650
"1989",365,196.801095890411,29,572.700714178683,5.3,5230
"1990",365,142.029315068493,21,679.553913103361,8.8,11700
"1991",365,227.62904109589,28,901.24323702659,7.2,9800
"1992",366,119.854644808743,19.5,507.651856346787,9.6,5290
"1993",365,63.9890410958904,22,185.142579124434,10,2660
"1994",365,109.895890410959,24,394.644639301256,9.6,5010
"1995",365,98.8654794520548,25,378.697139948347,8.8,4430
"1996",366,79.9857923497268,19,248.086284957252,8.5,2250
"1997",365,164.231780821918,31,443.044594880852,9.6,4580
"1998",365,98.372602739726,19,317.174369339657,12,3760
"1999",365,104.203835616438,20,388.512392898601,9.6,4810
"2000",366,40.344262295082,12,236.829285391489,6.6,3140
"2001",364,118.972527472527,15,548.501437164029,6,7830
