"WaterYear","Count","Mean","Median","StDev","Min","Max"
"1985",103,163.718446601942,44,501.29085169163,31,3400
"1986",365,131.312328767123,57,306.144826724218,21,2900
"1987",365,336.323287671233,115,901.116383081172,21,9010
"1988",366,146.344262295082,50,317.87224375612,18,2390
"1989",365,706.254794520548,151,1522.83701705264,29,10600
"1990",365,522.367123287671,126,1107.16218622588,20,7890
"1991",365,756.643835616438,175,2399.56759594801,29,26600
"1992",366,250.147540983607,90,763.618652643562,30,8800
"1993",365,271.005479452055,130,630.3308436824,25,8270
"1994",365,409.153424657534,120,1011.29637916196,25,12000
"1995",365,497.298630136986,110,1260.35138180985,28,11500
"1996",366,352.125683060109,97.5,1191.8166957277,20,15400
"1997",365,526.145205479452,166,1360.19933625625,17,14300
"2016",143,-272650.199300699,45.9,446973.961325588,-999999,1050
"2017",359,-986070.31086351,-999999,117363.373835762,-999999,96.1
"2018",18,-888879.594444444,-999999,323404.973761546,-999999,77.4
