"WaterYear","Count","Mean","Median","StDev","Min","Max"
"1974",30,21.4566666666667,11,34.8910983938087,7.1,150
"1975",365,83.4786301369863,17,316.929988339866,2.1,4160
"1976",366,39.0667213114754,10.07,124.244466527268,1,1300
"1977",365,36.2531506849315,4.8,158.883670986841,0.08,1730
"1978",365,49.368904109589,10,170.59599954859,0.71,1510
"1979",365,96.5330684931507,15,248.617875594825,0.89,1950
"1980",366,99.5410928961749,17,299.684602821228,1.1,3140
"1981",365,16.8783561643836,6.35,49.5617317316035,1.01,664
"1982",365,29.9577260273973,6.4,128.063465042166,0.96,1930
"1983",365,94.1669589041096,21,317.428911838023,1.3,4290
"1984",220,106.411,34.3,350.275167130906,1.13,4330
