"WaterYear","Count","Mean","Median","StDev","Min","Max"
"1996",366,11947.8333333333,9555,7134.90019529381,-3750,51800
"1997",365,25395.5342465753,22400,13098.8921623693,9710,64600
"1998",365,18195.5205479452,12900,13465.8930775733,920,62400
"1999",365,18622.2465753425,11300,13786.9452263834,2130,58800
"2000",366,10267.1666666667,5785,14389.8739883136,690,71000
"2001",365,17618.0547945205,11100,14745.7707944063,300,67900
"2002",365,26546.6849315069,21000,15919.0801863716,6980,72000
"2003",365,26435.8082191781,23900,12365.7355027333,7680,59400
"2004",366,18929.0163934426,13000,12684.6176335481,1010,54400
"2005",364,20654.9450549451,15000,15991.669895842,3950,82600
"2007",1,2500,2500,NA,2500,2500
"2008",366,14986.6666666667,10200,12047.5401551501,750,52000
"2009",365,19997.78,14000,15623.2142205174,-129,86100
"2010",365,22803.2876712329,19500,15200.2906325955,4100,72500
"2011",365,10084.701369863,8660,14415.1218952176,-49400,52900
"2012",366,10328.6612021858,8010,8180.0326294672,1470,39800
"2013",365,21734.5479452055,16000,14931.7070679366,3990,65800
"2014",365,17490.9150684932,13400,10520.3194560361,844,53200
"2015",365,18857.2054794521,14400,11282.2200086263,4190,53600
"2016",364,22285.7302197802,14150,21864.6770828692,-6850,95400
"2017",358,8947.83547486034,7515,6891.38403090403,-18200,35500
"2018",283,19322.1554770318,14300,15458.9820553783,3120,93400
"2019",124,34104.7580645161,30000,19274.8693314863,7100,77300
