"WaterYear","Count","Mean","Median","StDev","Min","Max"
"1929",365,562.312328767123,181,1245.80253316218,39,11300
"1930",365,731.950684931507,273,1312.67000899175,36,9640
"1931",365,434.194520547945,229,569.74339025488,35,4220
"1932",366,1628.05464480874,420,3161.8980908201,30,26000
"1933",365,1313.96164383562,460,2318.73541313087,62,19400
"1934",365,299.052054794521,133,761.532170878456,47,9320
"1935",365,790.550684931507,258,1377.82434038086,44,8420
"1936",366,458.431693989071,150,970.642930258719,38,7880
"1937",365,557.413698630137,180,1088.60419568674,47,9710
"1938",365,592.183561643836,199,1195.5879521714,46,10500
"1939",365,917.095890410959,224,1833.01218472524,40,15200
"1940",366,648.142076502732,199,1448.18616510449,43,11700
"1941",365,562.487671232877,266,1041.28494584647,48,12300
"1942",365,642.208219178082,211,1412.55412049905,45,14300
"1943",365,399.098630136986,100,1121.77391951726,35,11900
"1944",366,788.81693989071,190,2139.25129313139,44,23400
"1945",365,1013.26575342466,215,2374.65804086593,50,24400
"1946",365,1311.55616438356,462,2726.34370746976,67,23400
"1947",365,1042.98356164384,341,2090.27778262131,70,19100
"1948",366,1073.18032786885,208,2966.21363832996,62,33100
"1949",365,1351.05753424658,482,2730.44507793213,73,22500
"1950",365,1053.11232876712,380,1978.58388863868,86,17200
"1951",182,1711.78021978022,660,2999.11631110939,117,19900
"1961",365,861.304109589041,1060,546.568097070998,5,1570
"1962",365,1366.67123287671,1490,637.956065153223,5,2800
"1963",365,537.402739726027,380,564.080029484118,5,2560
"1964",366,762.002732240437,632.5,510.605847498209,5,1950
"1965",365,747.131506849315,685,409.823218681574,5,2000
"1966",365,557.843835616438,357,555.435459546392,5,2030
"1967",365,407.558904109589,156,469.77111560178,5,1650
"1968",366,1010.30054644809,1280,597.967404022722,5,2640
"1969",365,945.942465753425,1210,603.418721348719,5,2480
"1970",365,1098.7397260274,1100,704.81596123684,5,2560
"1971",365,1076.4,938,772.827286904788,5,3350
"1972",366,422.254098360656,293,411.37189576707,5,3020
"1973",365,1641.0904109589,1840,1061.56757666452,5,4510
"1974",365,1447.97534246575,1660,1016.71931842926,5,3300
"1975",365,1436.94794520548,1740,787.84038171642,5,2480
"1976",366,767.937158469945,852,607.428150223513,5,2060
"1977",365,486.06301369863,337,347.590669453155,5,1260
"1978",365,926.819178082192,1070,538.152542985073,5,1950
"1979",365,1227.26849315068,1250,778.097948027349,5,2250
"1980",365,1416.98630136986,1400,981.071592490605,5,3050
