"WaterYear","Count","Mean","Median","StDev","Min","Max"
"1940",366,395.754098360656,62,1214.93890017052,13,14900
"1941",365,401.864657534247,128,869.05920471647,9.6,8600
"1942",365,466.514520547945,93,1039.06640378005,8.7,7850
"1943",365,226.47397260274,29,823.405866305838,6.6,9700
"1944",366,717.900819672131,69,2911.35456229982,6,38400
"1945",365,608.095890410959,107,1225.59077215022,11,10100
"1946",365,906.53698630137,204,2089.02918245276,13,15600
"1947",365,724.687671232877,154,1546.81843660112,12,13100
"1948",366,756.666666666667,76.5,2407.59940083184,11,28900
"1949",364,997.076923076923,213,2102.51434539195,11,18900
