"WaterYear","Count","Mean","Median","StDev","Min","Max"
"1987",313,89.673482428115,22,269.830506450311,6.1,3060
"1988",366,39.1825136612022,13,140.647920554852,5.6,1700
"1989",365,110.064657534247,32,301.235360567563,8.4,2750
"1990",365,113.924657534247,30,286.614487117278,8.6,2520
"1991",365,155.494794520548,28,473.007787207085,8.9,4360
"1992",366,69.766393442623,22,221.322939631732,9.3,2780
"1993",365,82.5087671232877,25,241.334785317503,8.8,2350
"1994",365,103.030410958904,20,319.757877805671,8.1,3010
"1995",365,111.601369863014,21,382.810834017241,8.2,4130
"1996",366,59.3855191256831,18.5,174.835097674268,8.9,2200
"1997",365,105.290136986301,17,362.884292340862,8.3,3960
"1998",365,74.12,17,176.885431692536,8.2,1650
"1999",365,96.2172602739726,23,254.315072935411,9.5,2110
"2000",365,59.1778082191781,17,287.264876001564,7.4,3860
"2016",121,20.0504132231405,15.9,15.9417435472982,11.7,120
"2017",329,44.4631914893617,18.2,112.490744873351,5.09,1800
"2018",53,17.2150943396226,14.9,14.9591545964646,13.4,122
