"WaterYear","Count","Mean","Median","StDev","Min","Max"
"1986",235,39.4055319148936,8.9,250.418648294634,7.8,3630
"1987",365,81.5008219178082,15,382.311992327398,7.2,4370
"1988",366,55.6401639344262,10.5,218.53022523519,7.5,3570
"1989",365,174.929863013699,27,486.541626480261,7.8,3600
"1990",365,103.327397260274,15,400.993349215994,9.6,5890
"1991",365,162.76301369863,14,529.361362560785,9.8,5140
"1992",366,89.3002732240437,13,345.841109490505,9.4,3330
"1993",365,70.5356164383562,19,225.328236263578,9,2580
"1994",365,124.744657534247,19,361.581854464861,9.8,3130
"1995",365,84.7095890410959,18,257.749362969328,11,2980
"1996",366,45.8142076502732,18,112.93495965669,11,950
"1997",365,105.539726027397,29,295.560004292339,12,3610
"1998",365,68.6958904109589,19,183.374468574071,12,2260
"1999",365,69.2660273972603,19,207.300689122886,8.7,2230
"2000",366,30.8562841530055,14,74.8784670209996,9.6,683
"2001",364,58.4225274725275,13,204.25236358745,7.4,2970
