"WaterYear","Count","Mean","Median","StDev","Min","Max"
"1993",365,594.567123287671,217,854.555059995846,17,4250
"1994",365,1174.59205479452,413,1479.304602618,9.1,6780
"1995",365,714.328767123288,222,1146.81892156869,14,5810
"1996",366,390.214207650273,159,567.527448581547,8.2,2860
"1997",365,1136.29589041096,501,1298.74017996884,24,6050
"1998",365,628.93698630137,199,968.285203351448,15,4450
"1999",365,741.115068493151,267,1172.15822963212,21,6440
"2000",366,449.516393442623,125,964.563777337941,15,6400
"2001",365,806.921369863014,206,1304.04184293047,7.8,6910
"2002",365,1674.31315068493,490,2276.61487317479,12,9100
"2003",365,1274.64821917808,338,1803.62092663874,25.7,7940
"2004",366,727.089890710383,209.5,1075.89696740574,25.8,5050
"2005",365,778.619726027397,229,1092.14481929509,25.3,5090
"2006",365,626.921917808219,120,1311.29866949417,21,7490
"2007",365,411.195616438356,139,664.245854939952,11.8,3670
"2008",366,631.634699453552,213.5,929.151478381728,15.2,4520
"2009",365,935.775616438356,296,1359.77306897203,34.4,7600
"2010",365,1049.31561643836,318,1349.96674877751,27.7,6510
"2011",365,437.035342465753,109,880.48704138033,22.3,5600
"2012",366,535.938524590164,116,876.005188085599,12.1,4280
"2013",365,815.327178082192,214,1216.76386748927,7.24,6070
"2014",365,778.873698630137,311,926.274471681453,30.2,4070
"2015",365,730.065753424657,224,990.785259806193,25.1,4070
"2016",366,1252.61830601093,297.5,2096.7612494442,25,10900
"2017",363,413.016804407713,128,601.278959095139,18.6,2580
"2018",359,1154.31169916435,244,1832.07775410037,17.2,8460
"2019",172,1989.24593023256,1505,1987.63462299909,26.2,8780
