"WaterYear","Count","Mean","Median","StDev","Min","Max"
"1940",366,94.7622950819672,51,203.030845349876,40,3280
"1941",365,118.293150684932,68,239.998177836928,39,3060
"1942",365,208.761643835616,57,900.539652407227,37,14900
"1943",365,203.520547945205,56,684.752107018031,37,7310
"1944",366,268.565573770492,53,676.460688297249,37,5230
"1945",365,286.482191780822,63,618.390122637322,34,4580
"1946",365,444.47397260274,112,932.804917302536,30,7630
"1947",365,201.860273972603,74,350.015956755462,31,2470
"1948",366,250.027322404372,61,569.479473277411,48,5260
"1949",365,336.21095890411,84,718.021122076297,46,6160
"1950",365,309.876712328767,81,591.635290678282,50,4510
"1951",365,256.93698630137,70,544.701620989395,49,4760
"1952",366,265.524590163934,69,567.498474510504,49,4350
"1953",364,299.090659340659,64,875.524991671847,44,8250
